Publisher,Publisher2
Ant Workshop Ltd,other
Antinos Records,other
AOL,other
Apogee,other
"Apogee Software, Ltd.",other
Apollo,other
Apollon Create,other
Apparition Games,other
Appetite,other
Apprope,other
AppXplore Sdn Bhd,other
AppyNation Ltd.,other
aPriori Digital,other
Aqua House,other
Aqua Rouge,other
Aqualuft Games,other
AQUIRIS,other
Arachnid Games,other
Arcade Distillery,other
Arcade Lab,other
Arcadia Corporation,other
Arcadia Systems,other
Argent,other
Aries Online,other
Aroma,other
Ars System Works,other
Art Data Interactive,other
Art of War,other
Artem Karakozov,other
ArtePiazza,other
Artifex Mundi sp. z o.o.,other
ArtVostok,other
Artworx Software Company,other
Ascaron Entertainment GmbH,other
Ascon Software,other
Asmodee Digital,other
ASNetworks,other
Aspect,other
"Aspyr Media, Inc.",other
Assoria,other
Astec 21,other
astragon Software GmbH,other
Asymmetric,other
Atari Games(Midway),other
Atarisoft,other
Ateam,other
Atlus Online,other
Atmark,other
Atomicom,other
Atooi,other
Attu Games,other
Atypical Alchemists Associate,other
Atypical Games,other
Authering Heaven,other
Aventurine SA,other
Avex,other
AWEM Studio,other
Awesome Games Studio,other
Axl,other
Ayopa Games LLC,other
Ayyo Games,other
Azerbo,other
B-Factory,other
Backflip Studios,other
Balcony Team,other
Ballistic,other
Ballpit Monster,other
Bally Midway,other
Bandai Namco,other
Bass Professor,other
Bastian Schick,other
Battlebard Games,other
Battlefront.com,other
BattleGoat Studios,other
BBC Multimedia,other
BBC Worldwide,other
bch waves studio,other
Beam Software,other
Beat Games,other
Beatshapers,other
Bec,other
"Beeline Interactive, Inc.",other
BeF,other
Behaviour Interactive,other
BeiZ Ltd.,other
BeLight Software,other
Bellda Soft,other
Benjamin Rivers Inc.,other
Berzerk Studio,other
Beyond Software,other
bhv Software,other
BiCore,other
Bifrost Entertainment,other
Big Ant Studios,other
Big Blue Bubble,other
Big Five Software,other
Big Fun Games,other
Big Head Games,other
Big John Games,other
BigBrik Games,other
Bignet,other
Billy Goat Entertainment,other
Bimboosoft,other
Binary Takeover LLC,other
Binary Tweed,other
Binbou Soft,other
BioWare,other
BiP Media,other
Bishop Games,other
"Bit By Bit Studios, LLC",other
Bit Corporation,other
Bitmap Brothers,other
"BitMonster, Inc.",other
Bitten Toast Games,other
Bizarre Creations,other
Black Dragon,other
Black Isle Studios,other
Black Package,other
Black Psyche,other
Black Widow Games,other
Black Wing Foundation,other
Blackfire Games,other
BlackMoon Design,other
Blade Interactive,other
bleem!,other
Blendo Games,other
Blind Mind Studios,other
BlitWorks,other
Blitz Game Studios,other
Bloober Team,other
Bloober Team S.A.,other
Blue Print,other
Bluestone Interactive,other
BMG Interactive Entertainment,other
Boll AG,other
bom667,other
BombDog,other
Boolat Games,other
Bootdisk Revolution,other
Borealys Games,other
Born Ready Games,other
Bothtec,other
Bottom Up,other
Bplus,other
Brace Yourself Games,other
Brain Gray,other
Breakfall,other
Brighter Minds Media,other
Bubble Quiz Games,other
BudCat Games,other
Buka Entertainment,other
Buka Enterteinment,other
Bulbware,other
